                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    154,                 1.0538,                0.77053,                 1.6109,                0.99659,                      1,                  0.995,                0.78887,                  0.828,                0.78606,                 1.5274,             0.00078824,             0.00078824,             0.00078824
                    155,                 1.0436,                0.78328,                 1.6788,                0.99762,                      1,                  0.995,                0.75919,                0.89183,                 0.7783,                 1.5694,             0.00078032,             0.00078032,             0.00078032
                    156,                 1.1509,                0.78813,                 1.7322,                0.99821,                      1,                  0.995,                0.75466,                0.91465,                0.77007,                 1.5795,              0.0007724,              0.0007724,              0.0007724
                    157,                 1.0932,                0.75534,                 1.7331,                0.99793,                      1,                  0.995,                0.80166,                 0.7748,                0.68291,                 1.4729,             0.00076448,             0.00076448,             0.00076448
                    158,                  1.145,                0.82359,                 1.7652,                0.99526,                      1,                  0.995,                0.78525,                0.80636,                0.76096,                 1.4855,             0.00075656,             0.00075656,             0.00075656
                    159,                 1.1136,                0.80423,                 1.7975,                0.99598,                      1,                  0.995,                0.76066,                0.93087,                0.76961,                 1.5758,             0.00074864,             0.00074864,             0.00074864
                    160,                 1.0975,                0.81199,                 1.7397,                0.99708,                      1,                  0.995,                0.77025,                0.92286,                0.60773,                 1.5575,             0.00074072,             0.00074072,             0.00074072
                    161,                 1.1551,                0.83592,                 1.7472,                      1,                 0.9963,                  0.995,                0.83975,                0.71267,                0.61735,                  1.459,              0.0007328,              0.0007328,              0.0007328
                    162,                 1.0247,                0.79503,                 1.6782,                0.93449,                0.98214,                0.98872,                0.77364,                0.83714,                0.77976,                 1.5963,             0.00072488,             0.00072488,             0.00072488
                    163,                 1.2148,                0.82092,                 1.8526,                0.93105,                0.96449,                0.97559,                0.74247,                0.93538,                0.91354,                 1.6902,             0.00071696,             0.00071696,             0.00071696
                    164,                 1.1967,                0.86887,                 1.8931,                0.92236,                0.94643,                0.97522,                0.74725,                 0.9423,                0.95628,                 1.6965,             0.00070904,             0.00070904,             0.00070904
                    165,                 1.4454,                0.91605,                 1.9286,                0.95898,                      1,                0.98743,                0.77656,                0.88307,                0.79246,                 1.6323,             0.00070112,             0.00070112,             0.00070112
                    166,                 1.0929,                0.76865,                 1.7207,                0.98074,                      1,                  0.995,                0.80835,                0.79823,                0.65145,                 1.5461,              0.0006932,              0.0006932,              0.0006932
                    167,                  1.105,                0.81249,                 1.6746,                0.99457,                      1,                  0.995,                0.79144,                0.82247,                0.61344,                 1.5543,             0.00068528,             0.00068528,             0.00068528
                    168,                 1.1753,                0.83196,                 1.7999,                0.99986,                      1,                  0.995,                0.78691,                0.83082,                0.62204,                 1.5413,             0.00067736,             0.00067736,             0.00067736
                    169,                  1.138,                0.79641,                 1.7782,                0.99982,                      1,                  0.995,                0.78535,                0.86081,                0.63062,                 1.5255,             0.00066944,             0.00066944,             0.00066944
                    170,                 1.0445,                0.78796,                 1.7251,                0.99713,                      1,                  0.995,                0.78083,                0.87927,                0.62533,                 1.5202,             0.00066152,             0.00066152,             0.00066152
                    171,                 1.0553,                0.79428,                 1.6942,                      1,                0.99516,                  0.995,                 0.8002,                0.80867,                0.61259,                 1.4642,              0.0006536,              0.0006536,              0.0006536
                    172,                 1.0504,                0.73102,                 1.6354,                0.99891,                      1,                  0.995,                0.83187,                0.72069,                0.60537,                 1.4201,             0.00064568,             0.00064568,             0.00064568
                    173,                  1.096,                0.78876,                 1.7078,                0.99638,                      1,                  0.995,                0.79682,                0.81243,                 0.6127,                 1.5076,             0.00063776,             0.00063776,             0.00063776
                    174,                  1.064,                0.76244,                 1.6812,                0.99815,                      1,                  0.995,                0.75569,                0.92543,                0.62685,                 1.6189,             0.00062984,             0.00062984,             0.00062984
                    175,                 1.0375,                0.77827,                 1.6967,                 0.9988,                      1,                  0.995,                0.76552,                0.90553,                0.61346,                 1.6013,             0.00062192,             0.00062192,             0.00062192
                    176,                 1.0481,                0.70311,                 1.6588,                0.99914,                      1,                  0.995,                0.81692,                0.78902,                0.56229,                 1.4857,               0.000614,               0.000614,               0.000614
                    177,                 1.1214,                0.75999,                 1.6797,                0.99852,                      1,                  0.995,                 0.8493,                0.68736,                0.54795,                  1.393,             0.00060608,             0.00060608,             0.00060608
                    178,                0.99102,                0.71268,                 1.5954,                0.99665,                      1,                  0.995,                0.82941,                0.69824,                 0.5962,                 1.4026,             0.00059816,             0.00059816,             0.00059816
                    179,                 1.0221,                0.74631,                 1.6724,                0.99587,                      1,                  0.995,                 0.8319,                0.70988,                0.60404,                 1.4061,             0.00059024,             0.00059024,             0.00059024
                    180,                 1.0742,                0.75892,                 1.7141,                0.99641,                      1,                  0.995,                0.83491,                0.73513,                0.59278,                 1.4015,             0.00058232,             0.00058232,             0.00058232
                    181,                0.92513,                0.70854,                 1.5671,                      1,                0.99909,                  0.995,                 0.8123,                0.80273,                0.59879,                 1.4408,              0.0005744,              0.0005744,              0.0005744
                    182,                 1.0715,                0.80851,                 1.6606,                0.99576,                      1,                  0.995,                0.82275,                0.77093,                0.58495,                 1.4236,             0.00056648,             0.00056648,             0.00056648
                    183,                 1.0204,                0.75287,                 1.6084,                0.99797,                      1,                  0.995,                0.82352,                0.73679,                0.57124,                 1.4243,             0.00055856,             0.00055856,             0.00055856
                    184,                 0.9783,                0.71286,                 1.6261,                0.99662,                      1,                  0.995,                0.82735,                0.72315,                 0.5664,                 1.4316,             0.00055064,             0.00055064,             0.00055064
                    185,                 1.1388,                0.77458,                 1.7313,                 0.9979,                      1,                  0.995,                0.83463,                0.70338,                0.55618,                 1.4084,             0.00054272,             0.00054272,             0.00054272
                    186,                0.92985,                0.75174,                 1.6051,                0.99804,                      1,                  0.995,                0.80843,                0.75794,                0.55996,                 1.4319,              0.0005348,              0.0005348,              0.0005348
                    187,                 1.1327,                0.75303,                 1.7154,                  0.998,                      1,                  0.995,                0.80784,                0.76723,                0.56182,                 1.4427,             0.00052688,             0.00052688,             0.00052688
                    188,                 1.0759,                0.75976,                  1.705,                 0.9983,                      1,                  0.995,                0.82998,                0.71148,                0.55455,                 1.4005,             0.00051896,             0.00051896,             0.00051896
                    189,                0.99644,                0.75971,                 1.6423,                0.99741,                      1,                  0.995,                0.84904,                0.68536,                  0.565,                 1.3948,             0.00051104,             0.00051104,             0.00051104
                    190,                 1.0189,                 0.7032,                 1.6431,                0.99741,                      1,                  0.995,                 0.8334,                0.70777,                0.55921,                 1.4119,             0.00050312,             0.00050312,             0.00050312
                    191,                0.97728,                0.72942,                  1.587,                0.99789,                      1,                  0.995,                0.82821,                0.73609,                0.56779,                  1.416,              0.0004952,              0.0004952,              0.0004952
                    192,                 1.0245,                0.68312,                 1.6152,                0.99857,                      1,                  0.995,                0.81455,                0.78899,                0.58021,                 1.4336,             0.00048728,             0.00048728,             0.00048728
                    193,                 1.0089,                0.73606,                  1.638,                0.99906,                      1,                  0.995,                0.80648,                0.80403,                0.57087,                 1.4358,             0.00047936,             0.00047936,             0.00047936
                    194,                0.97581,                0.69271,                 1.5812,                0.99744,                      1,                  0.995,                0.82722,                 0.7232,                0.54729,                 1.3826,             0.00047144,             0.00047144,             0.00047144
                    195,                 1.1034,                0.74865,                 1.6901,                0.99708,                      1,                  0.995,                0.85043,                0.66194,                0.53429,                  1.363,             0.00046352,             0.00046352,             0.00046352
                    196,                0.95709,                0.70604,                 1.6243,                0.99843,                      1,                  0.995,                0.82939,                 0.6878,                0.53097,                  1.396,              0.0004556,              0.0004556,              0.0004556
                    197,                  1.079,                0.76425,                 1.7253,                0.99905,                      1,                  0.995,                0.83219,                0.69361,                0.53851,                 1.4065,             0.00044768,             0.00044768,             0.00044768
                    198,                 1.1034,                0.73398,                 1.6866,                0.99899,                      1,                  0.995,                0.83483,                0.67762,                0.53075,                 1.3924,             0.00043976,             0.00043976,             0.00043976
                    199,                 1.0154,                0.75493,                 1.7109,                0.99809,                      1,                  0.995,                0.83093,                0.70314,                0.52393,                 1.3912,             0.00043184,             0.00043184,             0.00043184
                    200,                 1.0215,                0.68389,                 1.6127,                0.99747,                      1,                  0.995,                 0.8282,                0.72846,                0.54035,                 1.3953,             0.00042392,             0.00042392,             0.00042392
                    201,                 1.0579,                0.73478,                  1.698,                 0.9949,                      1,                  0.995,                 0.8367,                0.70825,                0.54115,                 1.3776,               0.000416,               0.000416,               0.000416
                    202,                0.97443,                0.67897,                 1.5814,                0.99348,                      1,                  0.995,                0.85805,                0.67031,                0.53335,                 1.3573,             0.00040808,             0.00040808,             0.00040808
                    203,                0.96962,                0.70247,                 1.5967,                 0.9978,                      1,                  0.995,                 0.8555,                0.66914,                0.52192,                 1.3676,             0.00040016,             0.00040016,             0.00040016
                    204,                0.95261,                0.68106,                 1.5986,                0.99693,                      1,                  0.995,                0.85514,                  0.665,                0.51129,                 1.3672,             0.00039224,             0.00039224,             0.00039224
                    205,                0.98814,                0.67235,                 1.5908,                0.99752,                      1,                  0.995,                0.84491,                0.66541,                0.51469,                 1.3601,             0.00038432,             0.00038432,             0.00038432
                    206,                0.90866,                 0.6547,                  1.523,                0.99811,                      1,                  0.995,                0.84429,                0.69378,                0.51791,                 1.3678,              0.0003764,              0.0003764,              0.0003764
                    207,                 1.0351,                0.72678,                   1.63,                0.99852,                      1,                  0.995,                0.83669,                0.70214,                0.52117,                 1.3703,             0.00036848,             0.00036848,             0.00036848
                    208,                 1.0917,                0.88181,                 1.7852,                0.99863,                      1,                  0.995,                0.85036,                0.69473,                0.53813,                 1.3665,             0.00036056,             0.00036056,             0.00036056
                    209,                 0.8978,                0.63067,                 1.5171,                0.99852,                      1,                  0.995,                0.84426,                0.67796,                0.55107,                 1.3552,             0.00035264,             0.00035264,             0.00035264
                    210,                 1.0109,                0.72646,                 1.6454,                0.99815,                      1,                  0.995,                0.83258,                0.68726,                 0.5689,                 1.3666,             0.00034472,             0.00034472,             0.00034472
                    211,                0.94302,                0.68385,                 1.6018,                0.99789,                      1,                  0.995,                0.84778,                 0.6871,                0.56762,                 1.3737,              0.0003368,              0.0003368,              0.0003368
                    212,                0.89399,                0.66839,                 1.5106,                0.99838,                      1,                  0.995,                0.85632,                0.65941,                0.54133,                 1.3679,             0.00032888,             0.00032888,             0.00032888
                    213,                0.94031,                0.69754,                 1.5772,                0.99878,                      1,                  0.995,                0.85275,                0.66997,                0.51922,                 1.3857,             0.00032096,             0.00032096,             0.00032096
                    214,                0.98465,                0.68961,                 1.5863,                0.99838,                      1,                  0.995,                0.82705,                0.72984,                 0.5212,                 1.4447,             0.00031304,             0.00031304,             0.00031304
                    215,                0.88522,                0.60833,                 1.5236,                0.99833,                      1,                  0.995,                0.82207,                0.73646,                0.53516,                 1.4448,             0.00030512,             0.00030512,             0.00030512
                    216,                 1.0658,                 0.7036,                 1.6791,                0.99826,                      1,                  0.995,                0.83521,                0.69503,                0.54643,                 1.3915,              0.0002972,              0.0002972,              0.0002972
                    217,                0.86388,                0.61463,                 1.4604,                0.99797,                      1,                  0.995,                0.83944,                0.67899,                0.53521,                 1.3626,             0.00028928,             0.00028928,             0.00028928
                    218,                 0.8575,                0.68246,                 1.5285,                0.99772,                      1,                  0.995,                0.83666,                0.70424,                0.53454,                 1.3709,             0.00028136,             0.00028136,             0.00028136
                    219,                 1.0369,                0.75925,                 1.7305,                 0.9981,                      1,                  0.995,                0.82518,                0.70363,                0.52707,                 1.3635,             0.00027344,             0.00027344,             0.00027344
                    220,                0.97857,                0.66131,                 1.5983,                0.99742,                      1,                  0.995,                0.85353,                   0.67,                0.51163,                 1.3397,             0.00026552,             0.00026552,             0.00026552
                    221,                0.99547,                0.71671,                  1.587,                0.99845,                      1,                  0.995,                0.85985,                0.64741,                0.49669,                 1.3331,              0.0002576,              0.0002576,              0.0002576
                    222,                0.97995,                0.68705,                 1.5674,                 0.9986,                      1,                  0.995,                0.84923,                0.67094,                0.49272,                  1.366,             0.00024968,             0.00024968,             0.00024968
                    223,                0.95346,                0.68236,                 1.5602,                0.99886,                      1,                  0.995,                0.82707,                0.71184,                0.49373,                 1.4129,             0.00024176,             0.00024176,             0.00024176
                    224,                0.92539,                0.66342,                 1.5488,                0.99879,                      1,                  0.995,                0.84127,                0.69931,                0.49457,                 1.3972,             0.00023384,             0.00023384,             0.00023384
                    225,                0.89911,                0.64189,                 1.5512,                0.99858,                      1,                  0.995,                0.84265,                0.66965,                0.49082,                 1.3594,             0.00022592,             0.00022592,             0.00022592
                    226,                0.95738,                0.66196,                 1.5569,                0.99844,                      1,                  0.995,                0.84609,                 0.6574,                0.49662,                 1.3406,               0.000218,               0.000218,               0.000218
                    227,                 1.0325,                 0.6774,                 1.6361,                0.99848,                      1,                  0.995,                 0.8513,                0.65151,                0.49861,                 1.3324,             0.00021008,             0.00021008,             0.00021008
                    228,                0.92283,                0.62805,                 1.5112,                0.99855,                      1,                  0.995,                0.86123,                0.64471,                0.49548,                 1.3269,             0.00020216,             0.00020216,             0.00020216
                    229,                0.92026,                 0.6425,                 1.5901,                 0.9987,                      1,                  0.995,                0.85364,                0.64328,                0.49489,                 1.3276,             0.00019424,             0.00019424,             0.00019424
                    230,                0.97245,                  0.627,                 1.5688,                0.99873,                      1,                  0.995,                 0.8528,                 0.6419,                0.49449,                 1.3288,             0.00018632,             0.00018632,             0.00018632
                    231,                 1.0584,                0.73109,                 1.7299,                0.99878,                      1,                  0.995,                0.85999,                0.65075,                0.48178,                 1.3404,              0.0001784,              0.0001784,              0.0001784
                    232,                0.95122,                0.65687,                   1.59,                0.99763,                      1,                  0.995,                0.85769,                0.65104,                0.48008,                 1.3434,             0.00017048,             0.00017048,             0.00017048
                    233,                 0.9182,                 0.6426,                 1.5491,                0.99622,                      1,                  0.995,                0.85439,                0.64607,                0.48067,                 1.3406,             0.00016256,             0.00016256,             0.00016256
                    234,                0.83184,                0.60769,                 1.4526,                0.99539,                      1,                  0.995,                0.85583,                0.63822,                0.47412,                 1.3359,             0.00015464,             0.00015464,             0.00015464
                    235,                0.77768,                0.58753,                 1.4557,                0.99576,                      1,                  0.995,                 0.8594,                 0.6277,                0.47319,                 1.3286,             0.00014672,             0.00014672,             0.00014672
                    236,                0.89526,                0.65175,                 1.5256,                0.99826,                      1,                  0.995,                0.85744,                0.62374,                0.47782,                 1.3214,              0.0001388,              0.0001388,              0.0001388
                    237,                0.91302,                0.62878,                 1.5441,                0.99836,                      1,                  0.995,                0.85452,                0.62598,                0.47633,                 1.3188,             0.00013088,             0.00013088,             0.00013088
                    238,                0.91607,                0.62588,                 1.5286,                0.99855,                      1,                  0.995,                0.85581,                0.62457,                0.47596,                 1.3129,             0.00012296,             0.00012296,             0.00012296
                    239,                0.93511,                0.64631,                  1.519,                0.99837,                      1,                  0.995,                0.85739,                0.62194,                0.47234,                 1.3071,             0.00011504,             0.00011504,             0.00011504
                    240,                0.94291,                0.64618,                 1.5555,                0.99874,                      1,                  0.995,                0.85387,                0.61907,                0.46949,                  1.306,             0.00010712,             0.00010712,             0.00010712
                    241,                0.75198,                0.68978,                 1.4197,                0.99877,                      1,                  0.995,                0.86279,                 0.6161,                0.47137,                 1.3057,               9.92e-05,               9.92e-05,               9.92e-05
                    242,                 0.6997,                 0.6086,                 1.3819,                0.99889,                      1,                  0.995,                0.86075,                0.61473,                0.47165,                  1.304,              9.128e-05,              9.128e-05,              9.128e-05
                    243,                0.78874,                0.65097,                 1.4377,                 0.9989,                      1,                  0.995,                0.86239,                0.61304,                0.47815,                 1.3039,              8.336e-05,              8.336e-05,              8.336e-05
                    244,                0.75049,                0.62243,                 1.4297,                0.99892,                      1,                  0.995,                0.86554,                0.61279,                0.47846,                 1.3017,              7.544e-05,              7.544e-05,              7.544e-05
                    245,                0.74483,                0.61762,                 1.4016,                0.99987,                      1,                  0.995,                0.87041,                0.61323,                0.48164,                 1.3035,              6.752e-05,              6.752e-05,              6.752e-05
                    246,                0.71124,                0.60345,                 1.4159,                0.99935,                      1,                  0.995,                0.86779,                0.61737,                0.48486,                  1.308,               5.96e-05,               5.96e-05,               5.96e-05
                    247,                0.67889,                0.60336,                 1.3142,                0.99905,                      1,                  0.995,                0.86479,                0.62006,                0.48704,                 1.3102,              5.168e-05,              5.168e-05,              5.168e-05
                    248,                0.66606,                0.56763,                 1.3532,                0.99886,                      1,                  0.995,                0.86027,                0.62117,                0.48507,                 1.3104,              4.376e-05,              4.376e-05,              4.376e-05
                    249,                0.76235,                0.63313,                 1.4441,                0.99866,                      1,                  0.995,                0.85964,                0.62042,                0.48556,                 1.3075,              3.584e-05,              3.584e-05,              3.584e-05
                    250,                0.68859,                 0.6006,                 1.3331,                0.99875,                      1,                  0.995,                0.85973,                0.61786,                0.48264,                 1.3029,              2.792e-05,              2.792e-05,              2.792e-05
