                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.5169,                 2.4206,                 3.1231,                0.45255,                0.08929,                0.13857,                0.06246,                 2.1525,                 3.5207,                 4.3867,              0.0017386,              0.0017386,              0.0017386
                     35,                 2.4784,                 2.1639,                 3.0544,                0.00323,                0.64286,                0.01036,                0.00341,                 2.4723,                 4.0557,                 5.3274,              0.0017307,              0.0017307,              0.0017307
                     36,                 2.3708,                 2.2569,                 2.9523,                0.13984,                0.16071,                0.08181,                0.01707,                 2.3973,                 3.8178,                  4.111,              0.0017228,              0.0017228,              0.0017228
                     37,                 2.3258,                 2.0585,                  2.946,                0.76821,                0.57143,                0.64599,                0.16425,                  2.079,                 2.7158,                 3.0173,              0.0017149,              0.0017149,              0.0017149
                     38,                 2.2949,                 2.1274,                 3.0027,                0.62903,                0.57143,                0.65363,                0.28437,                  1.847,                 3.3474,                  2.715,               0.001707,               0.001707,               0.001707
                     39,                 2.5872,                 2.1674,                 3.1607,                0.70822,                0.52017,                0.67741,                0.34757,                 1.7986,                 2.1904,                 2.6581,               0.001699,               0.001699,               0.001699
                     40,                  2.234,                 2.1923,                 2.8862,                0.19389,                0.16071,                 0.1821,                0.06908,                 1.9952,                 3.1269,                 4.6028,              0.0016911,              0.0016911,              0.0016911
                     41,                 2.1557,                 1.9867,                 2.7769,                0.03438,                0.16071,                0.02568,                0.00918,                  2.291,                  4.814,                 7.1133,              0.0016832,              0.0016832,              0.0016832
                     42,                 2.1856,                 2.0048,                 2.8765,                0.00451,                0.60714,                0.01231,                0.00466,                  2.255,                 5.4134,                 5.5678,              0.0016753,              0.0016753,              0.0016753
                     43,                 2.1357,                 1.8414,                 2.7297,                0.03699,                0.10714,                0.01488,                0.00499,                 2.2969,                 5.0109,                 5.2064,              0.0016674,              0.0016674,              0.0016674
                     44,                 1.9896,                  1.817,                 2.7378,                0.14037,                0.10714,                0.03897,                0.01738,                 1.8137,                 3.7872,                 3.5777,              0.0016594,              0.0016594,              0.0016594
                     45,                 2.2624,                 1.9952,                 2.9906,                  0.338,                0.01786,                0.08059,                0.04091,                 1.5626,                  3.683,                 2.8388,              0.0016515,              0.0016515,              0.0016515
                     46,                 2.1261,                  1.927,                 2.8039,                0.20094,                0.39286,                0.14609,                0.08243,                 1.5642,                 3.5164,                 2.7457,              0.0016436,              0.0016436,              0.0016436
                     47,                 2.0928,                  1.913,                 2.8585,                 0.1241,                0.51786,                 0.1308,                0.06542,                 1.6356,                 3.4786,                 2.9001,              0.0016357,              0.0016357,              0.0016357
                     48,                  2.148,                 1.7164,                 2.8505,                0.78975,                0.41071,                0.62451,                0.29411,                 1.8032,                 2.3849,                 2.8888,              0.0016278,              0.0016278,              0.0016278
                     49,                 1.9468,                 1.6411,                 2.7063,                0.83756,                0.44643,                0.62135,                0.27626,                 1.8628,                 2.3545,                 2.8022,              0.0016198,              0.0016198,              0.0016198
                     50,                 1.8994,                  1.674,                 2.7022,                0.56447,                0.42857,                0.42737,                0.14891,                  1.831,                 2.8481,                 2.7126,              0.0016119,              0.0016119,              0.0016119
                     51,                  1.909,                 1.7028,                  2.671,                0.65117,                    0.5,                0.66718,                0.30468,                 1.6664,                 2.2754,                  2.552,               0.001604,               0.001604,               0.001604
                     52,                 1.9799,                 1.6875,                 2.6192,                 0.9163,                0.80357,                0.91675,                0.52144,                 1.5847,                 1.6809,                 2.4706,              0.0015961,              0.0015961,              0.0015961
                     53,                 1.9135,                 1.7276,                 2.6279,                0.35274,                0.25309,                0.36161,                0.18007,                 1.7544,                 2.8126,                 2.7034,              0.0015882,              0.0015882,              0.0015882
                     54,                 1.9783,                 1.5795,                 2.6223,                0.20514,                0.16071,                0.11538,                0.06671,                 1.9337,                 3.6225,                 3.0386,              0.0015802,              0.0015802,              0.0015802
                     55,                 1.8942,                 1.6932,                 2.6478,                 0.1897,                0.14286,                0.07537,                0.04479,                 1.9705,                 3.6565,                 3.1597,              0.0015723,              0.0015723,              0.0015723
                     56,                 1.7929,                 1.7168,                  2.633,                0.33745,                0.19643,                0.22093,                0.07852,                 1.8445,                 3.0011,                 2.7799,              0.0015644,              0.0015644,              0.0015644
                     57,                  1.825,                 1.5519,                 2.5645,                0.87117,                0.78571,                0.89686,                0.41366,                 1.6014,                 1.8002,                 2.5924,              0.0015565,              0.0015565,              0.0015565
                     58,                 2.1368,                 1.6229,                 2.7677,                0.89748,                0.93806,                0.97076,                0.57946,                 1.3635,                 1.4122,                 2.3195,              0.0015486,              0.0015486,              0.0015486
                     59,                 1.8413,                 1.5619,                 2.5812,                0.73375,                0.78742,                0.84022,                0.52291,                  1.321,                 1.7263,                 2.2927,              0.0015406,              0.0015406,              0.0015406
                     60,                 1.8234,                 1.5559,                 2.5543,                0.76304,                0.80357,                0.88154,                0.55505,                 1.3169,                 1.5933,                 2.2863,              0.0015327,              0.0015327,              0.0015327
                     61,                 1.7897,                 1.4865,                 2.4869,                0.55517,                0.66071,                0.58909,                0.36354,                 1.3551,                 2.0542,                 2.3418,              0.0015248,              0.0015248,              0.0015248
                     62,                 2.0407,                 1.6756,                 2.6685,                0.31924,                0.39359,                0.34827,                0.19395,                 1.3967,                 2.5762,                 2.4011,              0.0015169,              0.0015169,              0.0015169
                     63,                 2.0518,                  1.544,                 2.5899,                0.94065,                0.19643,                0.31486,                 0.1869,                 1.5787,                 2.7958,                 2.6745,               0.001509,               0.001509,               0.001509
                     64,                 1.7092,                 1.3758,                 2.2986,                0.78294,                0.38662,                0.49506,                 0.2613,                 1.7521,                 2.5318,                 2.8449,               0.001501,               0.001501,               0.001501
                     65,                 1.8528,                 1.3713,                 2.5445,                0.73927,                0.67857,                0.72179,                0.38516,                 1.6449,                 2.0619,                 2.5667,              0.0014931,              0.0014931,              0.0014931
                     66,                  1.942,                 1.4908,                 2.5753,                0.91305,                0.75008,                0.87575,                0.49433,                 1.5169,                 1.5127,                 2.3624,              0.0014852,              0.0014852,              0.0014852
                     67,                 1.7341,                 1.4142,                 2.3509,                0.91939,                0.81476,                0.89569,                0.49562,                 1.5786,                 1.5081,                 2.4153,              0.0014773,              0.0014773,              0.0014773
                     68,                 1.7165,                 1.4419,                 2.4625,                0.91736,                0.48214,                0.65857,                0.34704,                 1.7858,                 1.9917,                 2.7292,              0.0014694,              0.0014694,              0.0014694
                     69,                 1.8147,                 1.4186,                  2.535,                0.73721,                0.30357,                 0.4142,                0.23753,                 1.6392,                  2.586,                 2.6088,              0.0014614,              0.0014614,              0.0014614
                     70,                 1.6822,                 1.3281,                 2.4383,                0.91108,                0.17857,                0.24081,                0.11487,                  1.479,                 3.0856,                 2.5481,              0.0014535,              0.0014535,              0.0014535
                     71,                 1.6741,                 1.2797,                 2.4044,                0.70254,                0.19643,                0.31624,                0.14069,                 1.4696,                 2.8532,                 2.4958,              0.0014456,              0.0014456,              0.0014456
                     72,                 1.7175,                 1.3757,                 2.4254,                      1,                0.65912,                0.83141,                 0.4758,                 1.3871,                 1.8029,                 2.3148,              0.0014377,              0.0014377,              0.0014377
                     73,                 1.6115,                 1.2833,                 2.3011,                0.89419,                0.90553,                0.94634,                0.61245,                 1.2542,                 1.2127,                 2.1571,              0.0014298,              0.0014298,              0.0014298
                     74,                 1.6862,                 1.3806,                 2.3705,                0.90338,                0.85714,                0.94857,                0.59349,                 1.3032,                 1.3432,                 2.1435,              0.0014218,              0.0014218,              0.0014218
                     75,                 1.7049,                 1.4173,                 2.3483,                0.93612,                0.83929,                0.94218,                0.60287,                 1.2873,                 1.6727,                 2.0516,              0.0014139,              0.0014139,              0.0014139
                     76,                 1.7103,                  1.324,                  2.378,                0.97946,                0.69643,                0.91372,                0.63547,                 1.2105,                  1.839,                 2.0023,               0.001406,               0.001406,               0.001406
                     77,                 1.6245,                 1.3142,                 2.2559,                0.86328,                0.94643,                0.95939,                0.65446,                 1.1912,                 1.5415,                 2.0364,              0.0013981,              0.0013981,              0.0013981
                     78,                 1.6548,                 1.3648,                 2.3748,                0.76743,                0.88396,                0.93714,                0.65474,                 1.2293,                 1.3773,                 2.0846,              0.0013902,              0.0013902,              0.0013902
                     79,                 1.5445,                 1.2045,                 2.2532,                0.74096,                0.96429,                0.91469,                0.65259,                 1.2353,                 1.4315,                 2.0767,              0.0013822,              0.0013822,              0.0013822
                     80,                 1.5685,                 1.1945,                 2.2859,                0.68775,                0.92857,                0.87407,                0.61876,                 1.2121,                 1.9549,                 2.0396,              0.0013743,              0.0013743,              0.0013743
                     81,                 1.6363,                 1.3138,                 2.3906,                0.70049,                0.92857,                0.87448,                0.60549,                 1.2016,                 1.9694,                 2.0153,              0.0013664,              0.0013664,              0.0013664
                     82,                 1.4688,                 1.1966,                 2.2839,                0.78094,                0.92857,                0.93955,                0.59627,                 1.3224,                 1.4916,                 2.0811,              0.0013585,              0.0013585,              0.0013585
                     83,                 1.5083,                 1.2789,                 2.2961,                0.97828,                  0.875,                 0.9795,                0.60168,                 1.3706,                 1.0343,                 2.1182,              0.0013506,              0.0013506,              0.0013506
                     84,                 1.6066,                 1.2076,                 2.3108,                0.95328,                0.94643,                0.98778,                0.69218,                 1.2245,                 0.9613,                 2.0664,              0.0013426,              0.0013426,              0.0013426
                     85,                 1.5625,                 1.1929,                 2.2037,                0.94731,                0.94643,                0.98511,                0.67187,                 1.2248,                 1.0734,                 2.1166,              0.0013347,              0.0013347,              0.0013347
                     86,                 1.5814,                 1.2336,                 2.2247,                0.93047,                0.95601,                0.97658,                0.64289,                 1.2499,                 1.2072,                 2.1642,              0.0013268,              0.0013268,              0.0013268
                     87,                 1.4527,                 1.1864,                 2.2638,                0.91019,                0.90495,                0.95929,                0.67436,                 1.1116,                 1.1561,                 2.0682,              0.0013189,              0.0013189,              0.0013189
                     88,                 1.3703,                   1.21,                 2.1959,                0.93923,                0.94643,                0.97907,                0.66081,                 1.1762,                 1.0286,                 2.0297,               0.001311,               0.001311,               0.001311
                     89,                 1.5926,                 1.2528,                 2.2837,                0.96551,                0.99987,                0.99466,                0.66621,                 1.1367,                0.89445,                 1.9773,               0.001303,               0.001303,               0.001303
                     90,                  1.569,                 1.2178,                 2.2663,                0.99193,                0.98214,                0.99466,                0.70743,                 1.1007,                0.87036,                 1.9451,              0.0012951,              0.0012951,              0.0012951
                     91,                 1.4878,                 1.2238,                 2.3018,                0.95108,                      1,                 0.9936,                0.68834,                  1.167,                0.89875,                 2.0226,              0.0012872,              0.0012872,              0.0012872
                     92,                 1.4826,                 1.2793,                 2.2546,                0.96732,                0.78571,                0.92019,                0.63374,                 1.1468,                 1.2511,                 2.0626,              0.0012793,              0.0012793,              0.0012793
                     93,                 1.4114,                 1.1054,                 2.0936,                0.85834,                0.64286,                0.73821,                0.50121,                 1.1983,                 1.8391,                 2.1708,              0.0012714,              0.0012714,              0.0012714
                     94,                 1.4628,                 1.1989,                 2.1713,                0.70563,                0.67857,                0.70082,                0.46021,                 1.2451,                 1.8533,                 2.2102,              0.0012634,              0.0012634,              0.0012634
                     95,                  1.412,                 1.2294,                 2.0787,                0.91322,                0.75173,                0.86435,                 0.5821,                 1.1743,                 1.4515,                 2.1219,              0.0012555,              0.0012555,              0.0012555
                     96,                 1.5497,                 1.1356,                  2.219,                0.93818,                0.98214,                0.98789,                0.71037,                   1.08,                 0.8543,                 1.9908,              0.0012476,              0.0012476,              0.0012476
                     97,                 1.5059,                 1.1389,                 2.1994,                0.93147,                0.98214,                 0.9912,                0.72962,                 1.0488,                0.78737,                 1.9023,              0.0012397,              0.0012397,              0.0012397
                     98,                 1.3568,                 1.0813,                  2.076,                0.98138,                0.94129,                0.99128,                0.70334,                 1.0871,                  0.816,                 1.8783,              0.0012318,              0.0012318,              0.0012318
                     99,                 1.4846,                 1.0801,                 2.1723,                0.95545,                0.98214,                0.99449,                0.71351,                 1.0448,                0.89024,                 1.8281,              0.0012238,              0.0012238,              0.0012238
                    100,                 1.3619,                 1.0798,                 2.0857,                      1,                0.99301,                  0.995,                  0.727,                0.99492,                 1.0673,                 1.8416,              0.0012159,              0.0012159,              0.0012159
                    101,                 1.4613,                 1.0738,                 2.1523,                 0.9906,                      1,                  0.995,                0.74164,                0.99089,                0.99683,                 1.8355,               0.001208,               0.001208,               0.001208
                    102,                 1.3614,                 1.0295,                 2.1116,                0.98749,                0.98214,                0.99482,                0.73191,                 1.0251,                0.85619,                 1.8384,              0.0012001,              0.0012001,              0.0012001
                    103,                  1.351,                 1.0915,                 2.0683,                0.98189,                 0.9685,                0.99447,                0.69145,                 1.1102,                0.79612,                 1.8882,              0.0011922,              0.0011922,              0.0011922
                    104,                 1.4581,                 1.1355,                 2.1614,                0.96513,                0.98214,                0.99311,                0.72695,                 1.0252,                0.75486,                 1.8385,              0.0011842,              0.0011842,              0.0011842
                    105,                 1.4033,                 1.0672,                 2.0327,                0.94884,                0.99372,                0.99342,                 0.7133,                 1.0276,                 0.7879,                 1.8611,              0.0011763,              0.0011763,              0.0011763
                    106,                 1.2809,                 1.0617,                 1.9913,                0.93297,                0.99431,                0.99103,                0.71001,                 1.0598,                 0.7807,                 1.9211,              0.0011684,              0.0011684,              0.0011684
                    107,                 1.4699,                0.99615,                 2.1104,                0.96406,                0.95803,                0.98572,                0.68529,                 1.1352,                0.82784,                 2.0315,              0.0011605,              0.0011605,              0.0011605
                    108,                 1.4564,                 1.0662,                 2.1933,                0.94047,                0.96429,                0.97642,                0.68209,                 1.1123,                0.81102,                 1.9664,              0.0011526,              0.0011526,              0.0011526
                    109,                 1.3586,                  1.011,                  2.089,                 0.9286,                0.98214,                0.98831,                0.71899,                 1.0345,                 0.7958,                 1.8585,              0.0011446,              0.0011446,              0.0011446
                    110,                  1.352,                0.95064,                 2.0478,                0.94752,                0.98214,                0.98885,                0.72797,                0.99705,                0.76618,                 1.8285,              0.0011367,              0.0011367,              0.0011367
                    111,                 1.3983,                0.96521,                 1.9893,                0.97602,                0.98214,                0.99466,                0.73518,                 1.0011,                 0.7247,                 1.8339,              0.0011288,              0.0011288,              0.0011288
                    112,                 1.3745,                 0.9639,                 2.0471,                0.96029,                0.98214,                0.99253,                0.74545,                0.96886,                0.69904,                 1.7716,              0.0011209,              0.0011209,              0.0011209
                    113,                 1.3699,                0.99197,                 2.0107,                0.94744,                0.96577,                0.99136,                0.75552,                0.94018,                0.75505,                 1.7288,               0.001113,               0.001113,               0.001113
                    114,                 1.2371,                0.97657,                 1.9425,                0.96471,                0.97632,                0.99188,                0.76592,                0.90335,                0.76704,                 1.6636,               0.001105,               0.001105,               0.001105
                    115,                 1.3328,                 1.0222,                 1.9856,                0.91982,                0.98214,                0.98889,                0.72882,                 0.9692,                0.74871,                 1.7179,              0.0010971,              0.0010971,              0.0010971
                    116,                 1.4262,                0.95548,                 1.9313,                0.96198,                0.90377,                0.98536,                0.70426,                 1.0735,                0.87723,                 1.8401,              0.0010892,              0.0010892,              0.0010892
                    117,                  1.407,                0.98644,                 2.0124,                0.93312,                0.99668,                0.99229,                0.70128,                  1.059,                0.72199,                  1.818,              0.0010813,              0.0010813,              0.0010813
                    118,                 1.3003,                 0.9017,                 1.9509,                0.98223,                0.98702,                0.99482,                0.71032,                 1.0125,                0.68264,                 1.7766,              0.0010734,              0.0010734,              0.0010734
                    119,                 1.3104,                0.99657,                  2.005,                      1,                0.99449,                  0.995,                0.71397,                0.97858,                0.72372,                 1.7452,              0.0010654,              0.0010654,              0.0010654
                    120,                 1.2859,                0.97937,                 1.9279,                0.99447,                      1,                  0.995,                0.71126,                 1.0227,                0.75331,                 1.7658,              0.0010575,              0.0010575,              0.0010575
                    121,                 1.2385,                0.94232,                 1.9224,                0.99771,                      1,                  0.995,                0.74915,                 0.9286,                0.67493,                 1.6776,              0.0010496,              0.0010496,              0.0010496
                    122,                 1.1894,                0.91178,                 1.8033,                0.99721,                0.98214,                0.99466,                0.74451,                0.97185,                0.70533,                 1.7573,              0.0010417,              0.0010417,              0.0010417
                    123,                  1.405,                0.97003,                 2.1225,                0.96128,                0.96429,                0.99243,                0.69393,                 1.0791,                0.84809,                 1.8762,              0.0010338,              0.0010338,              0.0010338
                    124,                  1.395,                 1.0348,                 2.0545,                 0.9759,                0.92857,                0.99005,                0.68788,                 1.0769,                0.85878,                 1.8785,              0.0010258,              0.0010258,              0.0010258
                    125,                 1.3299,                0.97388,                 2.0317,                0.96451,                0.97071,                0.99206,                0.75417,                0.89733,                0.77655,                 1.6895,              0.0010179,              0.0010179,              0.0010179
                    126,                 1.2338,                 0.9625,                 1.8943,                0.94759,                0.96429,                0.99199,                0.77135,                 0.9094,                 0.7842,                  1.662,                0.00101,                0.00101,                0.00101
                    127,                 1.3194,                0.94833,                 2.0063,                 0.9811,                0.92857,                0.98832,                0.75943,                0.93348,                0.75483,                 1.6681,              0.0010021,              0.0010021,              0.0010021
                    128,                 1.2606,                 0.9735,                 1.9268,                 0.9714,                0.94643,                0.98887,                0.77117,                0.88898,                0.76615,                 1.6375,             0.00099416,             0.00099416,             0.00099416
                    129,                 1.1636,                0.85523,                 1.8214,                0.98224,                0.98795,                0.99447,                0.74289,                0.99072,                0.75142,                 1.7338,             0.00098624,             0.00098624,             0.00098624
                    130,                 1.2486,                0.92506,                 1.9721,                0.99279,                      1,                  0.995,                0.72173,                 1.0185,                0.73335,                 1.7549,             0.00097832,             0.00097832,             0.00097832
                    131,                 1.2914,                0.97006,                 1.9747,                0.98193,                0.97022,                0.99273,                0.77947,                0.89458,                0.85672,                 1.6476,              0.0009704,              0.0009704,              0.0009704
                    132,                 1.2546,                0.89818,                 1.8906,                0.97884,                0.82619,                0.95834,                0.76751,                0.87597,                 1.0734,                 1.6781,             0.00096248,             0.00096248,             0.00096248
                    133,                 1.1975,                0.90564,                  1.912,                0.94146,                0.86154,                0.96578,                 0.7349,                0.96145,                 1.2514,                  1.772,             0.00095456,             0.00095456,             0.00095456
                    134,                 1.3686,                0.91985,                 1.9788,                0.94716,                0.96038,                0.98953,                0.75963,                0.93999,                 1.2411,                 1.7586,             0.00094664,             0.00094664,             0.00094664
                    135,                 1.1385,                0.84981,                  1.778,                0.96497,                0.98372,                0.98957,                0.76545,                0.90487,                 1.1296,                 1.7477,             0.00093872,             0.00093872,             0.00093872
                    136,                 1.2334,                0.89263,                 1.9019,                0.92927,                0.98214,                 0.9849,                0.72221,                0.97993,                 1.0071,                 1.8155,              0.0009308,              0.0009308,              0.0009308
                    137,                 1.2634,                0.79398,                 1.8884,                 0.9481,                0.97877,                0.98329,                   0.73,                0.97134,                0.89272,                  1.803,             0.00092288,             0.00092288,             0.00092288
                    138,                 1.1806,                0.81762,                 1.8523,                0.91778,                      1,                0.97435,                0.74757,                 0.9078,                  0.833,                 1.7048,             0.00091496,             0.00091496,             0.00091496
                    139,                 1.1539,                0.82327,                 1.7591,                0.94892,                0.99532,                0.99021,                0.75128,                0.94404,                 0.8066,                 1.6835,             0.00090704,             0.00090704,             0.00090704
                    140,                 1.2512,                  0.817,                 1.8892,                0.97327,                      1,                0.99202,                0.77354,                0.87564,                0.73508,                 1.6238,             0.00089912,             0.00089912,             0.00089912
                    141,                 1.3215,                0.89335,                 1.9335,                0.97154,                      1,                0.99132,                0.77271,                0.82765,                0.73674,                 1.6078,              0.0008912,              0.0008912,              0.0008912
                    142,                 1.1945,                0.88178,                 1.8814,                0.97728,                      1,                0.99096,                 0.7653,                0.84517,                0.73805,                   1.64,             0.00088328,             0.00088328,             0.00088328
                    143,                  1.075,                0.78658,                 1.7662,                0.94078,                      1,                0.98783,                0.76584,                0.85195,                0.79979,                 1.6453,             0.00087536,             0.00087536,             0.00087536
                    144,                  1.173,                0.83165,                 1.8271,                0.93055,                      1,                0.99024,                0.76507,                0.88598,                0.81254,                  1.671,             0.00086744,             0.00086744,             0.00086744
                    145,                 1.2318,                0.83856,                 1.7604,                0.91492,                      1,                0.98796,                 0.7554,                0.91207,                0.78866,                 1.6946,             0.00085952,             0.00085952,             0.00085952
                    146,                 1.2286,                0.86805,                 1.8891,                0.91734,                      1,                0.99055,                0.77145,                0.87715,                0.72955,                 1.6636,              0.0008516,              0.0008516,              0.0008516
                    147,                 1.2337,                0.85349,                 1.8759,                0.93744,                0.98214,                0.99104,                0.77982,                0.84836,                0.69219,                 1.6334,             0.00084368,             0.00084368,             0.00084368
                    148,                 1.1997,                0.84865,                 1.8058,                 0.9788,                      1,                0.99482,                0.78474,                0.82721,                0.65367,                 1.5722,             0.00083576,             0.00083576,             0.00083576
                    149,                 1.1275,                0.78661,                 1.7852,                0.99516,                      1,                  0.995,                0.81126,                0.78347,                0.61808,                 1.5108,             0.00082784,             0.00082784,             0.00082784
                    150,                 1.0273,                0.75171,                 1.6731,                0.99844,                      1,                  0.995,                 0.7958,                0.78482,                 0.5692,                 1.5008,             0.00081992,             0.00081992,             0.00081992
                    151,                 1.1717,                0.78968,                 1.7634,                0.99699,                0.98214,                0.99466,                 0.7863,                 0.8291,                0.61467,                 1.5386,               0.000812,               0.000812,               0.000812
                    152,                 1.0804,                0.79802,                 1.7624,                0.99248,                0.98214,                0.99449,                0.80102,                0.81438,                0.70506,                 1.5239,             0.00080408,             0.00080408,             0.00080408
                    153,                 1.0605,                0.76816,                 1.7245,                0.98237,                0.99518,                0.99482,                0.78991,                0.82672,                0.77969,                 1.5244,             0.00079616,             0.00079616,             0.00079616
