                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0556,                  4.287,                 4.2519,                0.00153,                0.44643,                 0.0014,                0.00064,                 2.3262,                 4.4299,                 4.1584,                  6e-05,                  6e-05,                  6e-05
                      2,                 2.9913,                 4.4052,                  4.234,                0.00153,                0.44643,                0.00167,                0.00077,                 2.3257,                 4.4295,                 4.1579,               9.38e-05,               9.38e-05,               9.38e-05
                      3,                 2.8719,                 4.3495,                 4.2271,                0.00154,                0.44643,                 0.0014,                0.00063,                 2.3231,                  4.425,                  4.157,               7.48e-05,               7.48e-05,               7.48e-05
